阿凡达,詹姆斯·卡梅隆 JamesCameron,2009,8.8,1416875人,3
拯救大兵瑞恩,史蒂文·斯皮尔伯格 StevenSpielberg,1998,9.1,645292人,3
哈利·波特与死亡圣器(下),大卫·叶茨 DavidYates,2011,9.0,828218人,3
飞越疯人院,米洛斯·福尔曼 MilošForman,1975,9.1,545887人,3
小鞋子,马基德·马基迪 MajidMajidi,1997,9.2,410139人,4
沉默的羔羊,乔纳森·戴米 JonathanDemme,1991,8.9,886589人,4
布达佩斯大饭店,韦斯·安德森 WesAnderson,2014,8.9,929176人,4
禁闭岛,Martin Scorsese,2010,8.9,972627人,4
蝴蝶效应,埃里克·布雷斯 Eric,2004,8.9,934754人,4
功夫,周星驰 StephenChow,2004,8.8,1128371人,4
致命魔术,克里斯托弗·诺兰 ChristopherNolan,2006,8.9,854134人,4
心灵捕手,格斯·范·桑特 Gus,1997,8.9,710854人,4
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,2004,8.9,726105人,4
海豚湾,路易·西霍尤斯 LouiePsihoyos,2009,9.3,356411人,4
低俗小说,昆汀·塔伦蒂诺 QuentinTarantino,1994,8.9,831451人,4
超脱,托尼·凯耶 TonyKaye,2011,9.0,597335人,4
春光乍泄,王家卫 Kar,1997,9.0,630706人,4
美国往事,赛尔乔·莱翁内 SergioLeone,1984,9.2,410206人,4
摩登时代,查理·卓别林 CharlesChaplin,1936,9.3,300297人,4
喜剧之王,周星驰 Stephen,1999,8.8,968071人,4
致命ID,詹姆斯·曼高德 JamesMangold,2003,8.9,822097人,4
杀人回忆,奉俊昊 Joon-hoBong,2003,8.9,712009人,4
七宗罪,大卫·芬奇 DavidFincher,1995,8.8,940322人,4
红辣椒,今敏 SatoshiKon,2006,9.1,462344人,4
加勒比海盗,戈尔·维宾斯基 GoreVerbinski,2003,8.8,855240人,4
哈利·波特与密室,Chris Columbus,2002,8.9,753455人,4
狩猎,托马斯·温特伯格 ThomasVinterberg,2012,9.1,390278人,4
一一,杨德昌 EdwardYang,2000,9.1,392407人,4
唐伯虎点秋香,李力持 Lik-ChiLee,1993,8.7,1076752人,4
7号房的礼物,李焕庆 Hwan-kyeongLee,2013,8.9,555785人,5
被嫌弃的松子的一生,中岛哲也 TetsuyaNakashima,2006,8.9,702184人,5
请以你的名字呼唤我,卢卡·瓜达尼诺 LucaGuadagnino,2017,8.9,719709人,5
断背山,李安 AngLee,2005,8.8,705351人,5
剪刀手爱德华,蒂姆·波顿 TimBurton,1990,8.7,1031338人,5
爱在黎明破晓前,理查德·林克莱特 RichardLinklater,1995,8.8,680686人,5
入殓师,泷田洋二郎 YôjirôTakita,2008,8.9,664523人,5
勇敢的心,梅尔·吉布森 MelGibson,1995,8.9,557701人,5
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 ChristopherNolan,2012,8.8,717573人,5
第六感,M·奈特·沙马兰 M.,1999,8.9,554354人,5
重庆森林,王家卫 Kar,1994,8.8,808349人,5
幽灵公主,宫崎骏 HayaoMiyazaki,1997,8.9,522727人,5
超能陆战队,唐·霍尔 Don,2014,8.7,1008100人,5
爱在日落黄昏时,理查德·林克莱特 RichardLinklater,2004,8.9,558678人,5
菊次郎的夏天,北野武 TakeshiKitano,1999,8.9,594627人,5
甜蜜蜜,陈可辛 PeterChan,1996,8.9,550664人,5
天使爱美丽,让-皮埃尔·热内 Jean-PierreJeunet,2001,8.7,953219人,5
借东西的小人阿莉埃蒂,米林宏昌 HiromasaYonebayashi,2010,8.9,551919人,5
阳光灿烂的日子,姜文 WenJiang,1994,8.9,612910人,5
小森林 夏秋篇,森淳一 JunichiMori,2014,9.0,424478人,5
消失的爱人,大卫·芬奇 DavidFincher,2014,8.7,945122人,5
完美的世界,克林特·伊斯特伍德 ClintEastwood,1993,9.1,314158人,5
无人知晓,是枝裕和 HirokazuKoreeda,2004,9.1,318315人,5
倩女幽魂,程小东 Siu-TungChing,1987,8.8,735837人,5
寄生虫,奉俊昊 Joon-hoBong,2019,8.8,1365432人,5
时空恋旅人,理查德·柯蒂斯 RichardCurtis,2013,8.8,667646人,6
侧耳倾听,近藤喜文 YoshifumiKondo,1995,8.9,461468人,6
小森林 冬春篇,森淳一 JunichiMori,2015,9.0,378573人,6
幸福终点站,史蒂文·斯皮尔伯格 StevenSpielberg,2004,8.8,568142人,6
驯龙高手,迪恩·德布洛斯 Dean,2010,8.8,753720人,6
一个叫欧维的男人决定去死,汉内斯·赫尔姆 HannesHolm,2015,8.9,480299人,6
教父3,弗朗西斯·福特·科波拉 Francis,1990,9.0,373214人,6
未麻的部屋,今敏 SatoshiKon,1997,9.1,331544人,6
哈利·波特与火焰杯,迈克·内威尔 MikeNewell,2005,8.8,657072人,6
萤火之森,大森贵弘 TakahiroOmori,2011,8.9,537283人,6
怪兽电力公司,彼特·道格特 Pete,2001,8.8,667656人,6
